code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1301,"86,649","7,100",,,"15,715","11,682","13,547","39,189","37,166"
1332,"231,751","10,986",,,"147,428","38,076","86,443","153,467","134,021"
1352,"12,137","4,019",,,"26,593",345,"2,390","11,866","21,666"
1375,"10,202",,,"18,031",,,,"7,614",
1376,"28,828,145","3,447,948",,,"6,627,416",,"2,829,597","16,514,107","1,726,482"
1377,"73,555","18,996",,,"33,186","14,536","16,873","12,944","7,085"
1379,"26,881","13,891",,,"64,047","6,544","9,057","23,323","22,772"
1380,"2,310,301","926,888",,,"2,745,833","152,651","280,864","1,971,486","1,486,872"
1381,"11,618","7,880",,,"7,446",,948,"2,815",440
1382,"767,777","396,087",,,"68,993",,"45,557","222,212","125,297"
1383,"1,621,751","515,044",,,"2,379,856",,,"2,137,245","1,222,480"
1384,"3,385,488","1,395,633",,,"10,001,627","533,137","833,983","3,214,791","1,986,167"
1400,"3,072,027","1,697,397",,,"95,639","5,219","101,157","410,058","86,203"
1401,"2,352,073","1,355,357",,,"483,696","306,619","661,427","914,213","3,702"
1407,"66,108","28,726",,,"11,806",439,"2,253","31,400","28,108"
1413,"52,989,929","15,096,686",,,"11,972,958",,"5,780,021","34,865,328","12,145,854"
1414,"78,630",,"14,906",,"12,752","15,571","19,791","21,240","1,615"
1417,"233,494",,"44,764",,"86,655","22,562","31,052","103,018","24,409"
1418,"5,551,758","3,184,997",,,"1,615,859","432,725","691,345","3,502,914","979,339"
1419,"84,555","32,109",,,"19,666",,"5,094","75,858","10,932"
1420,"48,100,985","8,884,688",,,"2,249,043","31,340","2,180,370","27,745,783","7,943,663"
1429,"11,036,977","1,743,828",,,"4,107,090",,"305,874","8,275,203","184,452"
1430,"20,720,568","2,072,322",,"19,596",,,,"11,116,414","4,291,334"
1431,"6,586,276","3,067,719",,"562,357",,,,"3,056,720","1,312,424"
1433,"2,948,161","1,367,126",,,"292,983","159,840","2,765,695","1,094,138","2,341,305"
1434,"5,228,130","1,576,825",,,"7,272,527","221,067","430,651","5,233,226","4,012,093"
1435,"8,566,214","5,857,443",,"113,708",,"588,530","689,804","1,975,766","38,852"
1436,"6,456,070","1,747,481",,"982,671",,,"502,844","2,308,473","1,367,515"
1439,"3,004,201",,"1,676,927",,"1,019,888","3,968","151,506","1,836,764","1,221,340"
1443,"8,414,963",,"4,565,648",,"4,303,669","3,093,579","3,375,514","4,506,707","2,405,206"
1446,"5,025,199","3,017,865",,"67,235",,,"228,597","2,404,895","2,241,688"
1449,"354,491","135,285",,,"138,942",,"74,123","202,138","34,776"
1450,"5,816,310","1,711,072",,,"928,870","181,391","239,571","2,142,894","84,978"
1491,"5,933,724","3,958,425",,,"2,078,623","100,071","232,379","1,274,117","426,177"
1514,"7,759","4,646",,,"6,643","Å¶ÇP 2,520","2,644","1,018",926
1515,"87,866","35,510",,,"62,584","28,157","34,955","48,162","24,161"
1518,"40,777","23,850",,,"13,427","3,335","5,433","25,492","14,838"
1605,"490,836","236,856",,,"2,174,853","324,927","1,838,116","376,662","1,400,561"
1662,"221,034","162,368",,,"266,745","105,070","130,877","103,776","86,517"
1663,"34,196","14,814",,,"38,121","11,643","21,537","8,099","6,358"
1711,"244,755","112,610",,,Å\,"3,303","32,594","164,230","73,934"
1716,"9,973,745","6,237,861",,,"5,181,993","910,976","1,460,900","2,366,590","921,241"
1717,"4,685,680","1,438,834",,,"105,708","100,000","700,173","899,515","638,499"
1718,"11,102,710",,"3,039,561",,"15,962,827","599,680","1,523,326","8,018,461","5,001,507"
1719,"274,429",,"129,317",,"29,555","21,697","34,120","173,984","18,949"
1720,"158,454",,"34,173",,"34,342","29,816","32,568","95,046","28,012"
1728,"10,596,035","5,026,131",,,"2,904,415","388,358","1,322,948","7,303,022","1,467,932"
1730,"1,889,880",,"663,156",,"1,413,408","22,573","235,715","1,337,713","713,200"
1734,"7,774,205",,"2,464,267",,"870,342","357,111","585,662","4,384,703","691,826"
1736,"17,679,110","6,210,924",,,"2,627,241","3,514,547","4,577,345","8,546,034","1,155,936"
1738,"3,481,527","1,326,293",,,"2,429,430","103,304","420,418","1,862,182","744,628"
1739,"26,233,535","1,463,190",,,"1,497,269",,"227,593","16,373,137","5,738,674"
1743,"5,313,976",,"2,012,029",,"5,939,425","975,189","1,172,729","3,428,292","1,264,506"
1757,"1,372,383","770,092",,,"10,989",,"91,622","180,889","33,535"
1758,"6,316,529","2,483,039",,,"2,294,002","1,012,637","1,447,599","2,301,965","473,950"
1762,"165,982",,"73,372",,"38,472","6,573","13,573","75,455","29,619"
1764,"8,393,036",,"3,332,855",,"3,341,706",,"4,587,009","7,946,736","4,201,928"
1768,"9,605,579",,"Å¶ÇP 4,230,645",,"1,023,943","394,595","605,140","3,426,478","234,637"
1770,"19,424,433",,"8,608,788",,"3,203,439","2,810,098","3,324,611","10,199,367","1,486,222"
1771,"11,187,155","3,653,190",,,"2,124,617","747,767","801,179","6,869,308","854,922"
1775,"51,311",,"6,388",,"2,467","Å¶1
513","2,408","24,042","3,304"
1776,"21,195",,"10,677",,"5,238",7,"1,027","12,872","2,132"
1777,"12,423,097",,"2,785,633",,"3,252,252","168,891","870,510","5,768,409","1,247,326"
1782,"12,244,613",,"5,932,039",,"2,180,969","1,245,931","1,911,147","5,566,791","290,722"
1783,"3,470,276","1,995,524",,,"337,162","3,731,841","4,028,735","1,323,228","1,755,127"
1786,"47,106","8,653",,,"9,774","2,856","3,485","19,627","6,959"
1787,"9,543,230",,"569,202",,"658,422","318,926","1,024,930","2,722,940","1,075,279"
1788,"4,253,377",,"1,989,198",,"716,601","172,367","294,588","2,561,319","59,625"
1789,"3,556,505",,"2,303,681",,"527,403","50,000","179,364","1,446,733","381,470"
1793,"71,843",,"24,468",,"9,168","6,975","11,375","21,636","3,741"
1795,"5,664,498","2,375,720",,,"1,169,060","116,158","450,696","2,623,485","367,221"
1799,"48,183,721",,"16,357,216",,"18,253,746","9,258,536","9,581,232","9,407,852","2,623,856"
1802,"1,269,405",,"Å¶ÇU,Å¶ÇX 258,549",,"Å¶ÇR 609,256","Å¶ÇS,Å¶ÇU 340,079","387,528","992,925","317,723"
1805,"94,041",,"25,439",,"19,236","Å¶ÇT
4,229","7,223","64,097","15,915"
1807,"19,381,700",,"4,194,669",,"9,846,360","2,160,237","3,077,970","10,938,755","3,492,316"
1808,"689,527",,"216,107",,"173,010","40,880","81,264","271,963","287,331"
1810,"48,417,807",,"16,604,894",,"14,482,150","9,821,188","11,303,409","27,242,634","4,654,665"
1811,"89,462",,"48,818",,"17,038","Å¶ÇP,Å¶ÇQ 45,906","46,471","64,334","14,420"
1813,"41,578",,"11,912",,"7,510","1,880","3,728","22,976","1,419"
1814,"35,248",,"6,217",,"1,683","Å¶ÇP,Å¶ÇQ 1,668","3,442","19,051","2,367"
1815,"124,581",,"17,947",,"25,809","Å¶ÇP,Å¶ÇR 31,627","34,563","107,298","14,892"
1821,"315,727",,"75,532",,"28,772","19,635","29,185","188,665","77,852"
1822,"140,955",,"28,213",,"17,184","8,904","12,569","83,245","13,523"
1826,"20,311",,"9,604",,"4,029",460,696,"9,354","1,448"
1827,"62,875",,"22,375",,"15,978","3,438","4,560","44,563","2,585"
1832,"26,907",,"6,245",,"10,387","1,334","3,461","9,234","5,831"
1833,"187,095",,"21,613",,"67,814","67,342","72,934","124,181","36,859"
1835,"112,500,833",,"31,694,569",,"15,281,270","12,067,696","13,403,749","42,129,702","2,816,906"
1841,"5,878,136",,"4,707,698",,"6,839,586","320,245","506,460","1,207,081","1,036,094"
1844,"7,797,306","2,345,003",,,"1,062,745",,"277,326","1,861,190","3,082,607"
1848,"17,352",,"1,477",,"6,694",154,911,"13,157","2,574"
1850,"30,648",,"4,404",,"3,294",237,"1,881","22,814","1,838"
1852,"76,560","15,760",,,"5,018","6,395","9,243","36,644","13,821"
1853,"20,798",,"7,727",,"1,685",319,"1,060","10,335",117
1860,"373,147",,"95,037",,"144,871","200,290","208,285","281,681","141,573"
1861,"311,770",,"71,335",,"25,658","29,711","41,587","190,604","25,133"
1866,"38,834,915","12,998,129",,,"20,998,868","6,729,392","9,613,427","30,045,155","3,200,940"
1869,"65,275",,"22,420",,"11,765","17,221","17,688","29,909","9,376"
1873,"15,432",,"8,977",,"25,289",226,"3,263","14,561","8,851"
1878,"507,115",,"198,993",,"172,145","48,737","201,132","299,066","312,181"
1879,"113,224",,"62,658",,"10,569",992,"2,586","42,704","1,947"
1881,"384,078",,"154,303",,"142,397","53,554","58,979","169,531","25,097"
1882,"61,883",,"12,764",,"19,988","3,777","5,557","35,860","3,959"
1883,"101,635",,"45,523",,"91,079","19,399","29,307","51,691","7,678"
1884,"111,019",,"36,691",,"33,623","6,989","7,757","55,483","5,200"
1885,"151,619",,"32,331",,"34,745","11,324","16,785","100,914","27,111"
1887,"76,232",,"17,318","40,976",,"9,090","13,163","43,238","16,344"
1888,"77,787",,"14,376",,"9,318","2,555","4,119","48,594","9,035"
1890,"109,018",,"16,770",,"32,334","2,561","7,084","71,532","11,544"
1897,"11,844",,"8,375",,"1,608","6,092","6,469","1,406","1,039"
1898,"53,821",,"14,035",,"23,655",288,"1,669","30,877","7,742"
