code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1301,86649,7100,,,15715,11682,13547,39189,37166
1332,231751,10986,,,147428,38076,86443,153467,134021
1352,12137,4019,,,26593,345,2390,11866,21666
1375,10202,,,18031,,,,7614,
1376,28828145,3447948,,,6627416,,2829597,16514107,1726482
1377,73555,18996,,,33186,14536,16873,12944,7085
1379,26881,13891,,,64047,6544,9057,23323,22772
1380,2310301,926888,,,2745833,152651,280864,1971486,1486872
1381,11618,7880,,,7446,,948,2815,440
1382,767777,396087,,,68993,,45557,222212,125297
1383,1621751,515044,,,2379856,,,2137245,1222480
1384,3385488,1395633,,,10001627,533137,833983,3214791,1986167
1400,3072027,1697397,,,95639,5219,101157,410058,86203
1401,2352073,1355357,,,483696,306619,661427,914213,3702
1407,66108,28726,,,11806,439,2253,31400,28108
1413,52989929,15096686,,,11972958,,5780021,34865328,12145854
1414,78630,,14906,,12752,15571,19791,21240,1615
1417,233494,,44764,,86655,22562,31052,103018,24409
1418,5551758,3184997,,,1615859,432725,691345,3502914,979339
1419,84555,32109,,,19666,,5094,75858,10932
1420,48100985,8884688,,,2249043,31340,2180370,27745783,7943663
1429,11036977,1743828,,,4107090,,305874,8275203,184452
1430,20720568,2072322,,19596,,,,11116414,4291334
1431,6586276,3067719,,562357,,,,3056720,1312424
1433,2948161,1367126,,,292983,159840,2765695,1094138,2341305
1434,5228130,1576825,,,7272527,221067,430651,5233226,4012093
1435,8566214,5857443,,113708,,588530,689804,1975766,38852
1436,6456070,1747481,,982671,,,502844,2308473,1367515
1439,3004201,,1676927,,1019888,3968,151506,1836764,1221340
1443,8414963,,4565648,,4303669,3093579,3375514,4506707,2405206
1446,5025199,3017865,,67235,,,228597,2404895,2241688
1449,354491,135285,,,138942,,74123,202138,34776
1450,5816310,1711072,,,928870,181391,239571,2142894,84978
1491,5933724,3958425,,,2078623,100071,232379,1274117,426177
1514,7759,4646,,,6643,2520,2644,1018,926
1515,87866,35510,,,62584,28157,34955,48162,24161
1518,40777,23850,,,13427,3335,5433,25492,14838
1605,490836,236856,,,2174853,324927,1838116,376662,1400561
1662,221034,162368,,,266745,105070,130877,103776,86517
1663,34196,14814,,,38121,11643,21537,8099,6358
1711,244755,112610,,,,3303,32594,164230,73934
1716,9973745,6237861,,,5181993,910976,1460900,2366590,921241
1717,4685680,1438834,,,105708,100000,700173,899515,638499
1718,11102710,,3039561,,15962827,599680,1523326,8018461,5001507
1719,274429,,129317,,29555,21697,34120,173984,18949
1720,158454,,34173,,34342,29816,32568,95046,28012
1728,10596035,5026131,,,2904415,388358,1322948,7303022,1467932
1730,1889880,,663156,,1413408,22573,235715,1337713,713200
1734,7774205,,2464267,,870342,357111,585662,4384703,691826
1736,17679110,6210924,,,2627241,3514547,4577345,8546034,1155936
1738,3481527,1326293,,,2429430,103304,420418,1862182,744628
1739,26233535,1463190,,,1497269,,227593,16373137,5738674
1743,5313976,,2012029,,5939425,975189,1172729,3428292,1264506
1757,1372383,770092,,,10989,,91622,180889,33535
1758,6316529,2483039,,,2294002,1012637,1447599,2301965,473950
1762,165982,,73372,,38472,6573,13573,75455,29619
1764,8393036,,3332855,,3341706,,4587009,7946736,4201928
1768,9605579,,4230645,,1023943,394595,605140,3426478,234637
1770,19424433,,8608788,,3203439,2810098,3324611,10199367,1486222
1771,11187155,3653190,,,2124617,747767,801179,6869308,854922
1775,51311,,6388,,2467,513,2408,24042,3304
1776,21195,,10677,,5238,7,1027,12872,2132
1777,12423097,,2785633,,3252252,168891,870510,5768409,1247326
1782,12244613,,5932039,,2180969,1245931,1911147,5566791,290722
1783,3470276,1995524,,,337162,3731841,4028735,1323228,1755127
1786,47106,8653,,,9774,2856,3485,19627,6959
1787,9543230,,569202,,658422,318926,1024930,2722940,1075279
1788,4253377,,1989198,,716601,172367,294588,2561319,59625
1789,3556505,,2303681,,527403,50000,179364,1446733,381470
1793,71843,,24468,,9168,6975,11375,21636,3741
1795,5664498,2375720,,,1169060,116158,450696,2623485,367221
1799,48183721,,16357216,,18253746,9258536,9581232,9407852,2623856
1802,1269405,,258549,,609256,340079,387528,992925,317723
1805,94041,,25439,,19236,4229,7223,64097,15915
1807,19381700,,4194669,,9846360,2160237,3077970,10938755,3492316
1808,689527,,216107,,173010,40880,81264,271963,287331
1810,48417807,,16604894,,14482150,9821188,11303409,27242634,4654665
1811,89462,,48818,,17038,45906,46471,64334,14420
1813,41578,,11912,,7510,1880,3728,22976,1419
1814,35248,,6217,,1683,1668,3442,19051,2367
1815,124581,,17947,,25809,31627,34563,107298,14892
1821,315727,,75532,,28772,19635,29185,188665,77852
1822,140955,,28213,,17184,8904,12569,83245,13523
1826,20311,,9604,,4029,460,696,9354,1448
1827,62875,,22375,,15978,3438,4560,44563,2585
1832,26907,,6245,,10387,1334,3461,9234,5831
1833,187095,,21613,,67814,67342,72934,124181,36859
1835,112500833,,31694569,,15281270,12067696,13403749,42129702,2816906
1841,5878136,,4707698,,6839586,320245,506460,1207081,1036094
1844,7797306,2345003,,,1062745,,277326,1861190,3082607
1848,17352,,1477,,6694,154,911,13157,2574
1850,30648,,4404,,3294,237,1881,22814,1838
1852,76560,15760,,,5018,6395,9243,36644,13821
1853,20798,,7727,,1685,319,1060,10335,117
1860,373147,,95037,,144871,200290,208285,281681,141573
1861,311770,,71335,,25658,29711,41587,190604,25133
1866,38834915,12998129,,,20998868,6729392,9613427,30045155,3200940
1869,65275,,22420,,11765,17221,17688,29909,9376
1873,15432,,8977,,25289,226,3263,14561,8851
1878,507115,,198993,,172145,48737,201132,299066,312181
1879,113224,,62658,,10569,992,2586,42704,1947
1881,384078,,154303,,142397,53554,58979,169531,25097
1882,61883,,12764,,19988,3777,5557,35860,3959
1883,101635,,45523,,91079,19399,29307,51691,7678
1884,111019,,36691,,33623,6989,7757,55483,5200
1885,151619,,32331,,34745,11324,16785,100914,27111
1887,76232,,17318,40976,,9090,13163,43238,16344
1888,77787,,14376,,9318,2555,4119,48594,9035
1890,109018,,16770,,32334,2561,7084,71532,11544
1897,11844,,8375,,1608,6092,6469,1406,1039
1898,53821,,14035,,23655,288,1669,30877,7742
1899,113005,16926,31641,,26910,5363,8257,68145,7431
1904,27280316,13238291,,,5884492,4429859,6360835,15787094,218646
1905,15102448,,8335688,,2465291,323304,542617,5057794,890513
1909,24939810,4516905,,,8955660,1301256,4880252,16579583,4473700
1911,710437,91017,,,195529,183342,216672,364276,352085
1914,14131503,,5034299,,11295665,4862446,5337273,7067440,1153007
1921,22427373,,9493281,,15366771,12664307,12985060,9566381,6266504
1926,73791,,28259,,21995,7449,16524,35622,1069
1930,38559,,24250,,11900,1207,3161,11123,4126
1934,131340,,39006,,47011,10214,19855,54331,21876
1938,44437092,,6760302,,19801566,15124976,15959329,19083184,6897601
1939,52127,,8467,,28120,11029,16143,33414,14015
1941,108253,,18625,,35378,112321,123688,43997,13774
1942,278545,,58478,,111601,46975,61048,144952,32586
1944,434229,,42422,,98662,133796,145215,162225,27588
1946,123909,,46909,,147615,24253,32622,73718,114773
1949,109639,,39918,,11998,20002,23970,53544,6807
1950,167783,,6457,,47761,40642,47421,68323,12969
1951,300227,,42785,,113375,37707,67792,156212,46477
1952,70127,,12172,,2834,23006,24956,45173,2756
1954,91129,21452,,,39413,,17271,65376,30987
1959,212574,,50905,,80698,63194,71530,125361,19429
1960,25142571,,6642495,,7136662,4697018,11250988,12354332,1709481
1961,116054,,36087,,13972,28816,40348,67882,11731
1964,27616,6922,,,4361,5517,6222,14316,2468
1965,40959,14726,,,4427,10035,16848,18245,2915
1966,20795054,2666275,,,7643437,690257,2169901,14744176,3855862
1967,26534054,,7228125,,6139953,10015848,11220016,11434854,1345840
1968,94508,,31151,,20466,9427,13362,40487,15156
1969,196511,,64127,,21036,36114,46900,105408,29888
1971,3045,1024,,,4335,0,306,3680,1584
1972,21704,,9298,,7094,9,1226,7496,2952
1973,211806,68426,,,10845,1973,22777,91474,31745
1979,165387,,52059,,10150,32677,44866,86919,15625
1980,96916,31775,,,5190,17998,29762,52883,4489
1981,,,,,,2579234,3076047,8462927,749243
1982,62888,29399,,,590,17751,22476,21434,2110
1992,4766928,,2690878,,1703813,1180225,1615840,2429554,1226617
1994,8295703,,2265509,,2987476,219463,2218895,2531015,619045
1997,6236887,,3684986,,2628711,323397,395731,3300944,653540
1999,4202506,,1849929,,1902541,340606,1101726,2774880,589899
2002,238674,61282,,,215428,147168,159935,108740,133900
2003,27479,1318,,,13085,7780,11247,9195,3528
2004,91352,11164,,,84872,28805,31881,71305,38923
2009,19334633,7957900,,,10193423,8523611,8714316,4287834,2643647
2053,55920,11747,,,26036,4836,5516,21389,6271
2055,20935283,9818207,,,5334383,556569,1548159,9966649,103690
2058,6286493,2534402,,,4285580,703969,1203184,4640000,2125369
2107,7716,3491,,,419,956,3021,1367,403
2109,60929,17797,,,54828,10831,24487,27779,27251
2112,9889,4897,,,10324,4697,6958,8854,8462
2114,10364862,3667721,,,3194747,7406626,9843521,3632935,1595986
2117,25553,,,11432,,,,8156,
2120,22176757,,,1590795,,,,14402010,
2121,166121,149812,,,12998,13928,23939,24498,12267
2124,10757,8887,,,471,0,1095,3220,171
