code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1333,"300,511","31,579",,,"147,902","43,665","64,393","213,484","152,237"
1438,"3,239,976","2,125,532",,,"971,599",,"312,646","1,278,725","232,571"
1447,"10,852,865","3,894,837",,,"1,720,706","215,825","1,246,302","7,571,502","4,709,414"
1448,"39,809",,"6,654",,"21,904","11,164","13,113","37,814","15,465"
1451,"12,489,804","3,984,906",,,"1,946,262","1,689","282,510","5,000,041","4,076,325"
1712,"4,252","1,031",,,"16,168",508,835,"4,746","2,767"
1721,"278,860",,"33,259",,"140,694","25,098","52,387","128,229","20,382"
1724,"6,295",847,,,"2,162",,987,"4,367","1,349"
1726,"26,669",,"2,730",,"5,186",410,698,"17,597","2,899"
1737,"16,673,745",,"2,948,935",,"1,501,871","70,033","727,189","3,823,473","1,121,332"
1798,"20,670,914",,"7,111,912",,"3,823,982","774,488","2,825,818","15,471,354","1,306,528"
1801,"1,027,061",,"446,630",,"152,470","328,152","455,261","841,147","185,054"
1803,"1,013,598",,"Å¶4,Å¶5 214,321",,"501,899","Å¶2,Å¶4 355,679","374,035","714,908","372,319"
1812,"810,537",,"170,329",,"282,319",,,"707,151","213,321"
1820,,,,,,"41,711","64,835","191,127","73,775"
1824,"433,190",,"Å¶3 100,687",,"165,558","Å¶1,Å¶2 131,063","149,357","267,118","294,242"
1828,"23,883,174",,"4,525,013",,"8,033,204","422,715","1,217,732","13,210,884","2,280,219"
1840,"10,598,754",,"4,209,889",,"8,576,079","687,746","1,725,056","8,295,489","1,746,122"
1847,"44,606",,"11,835",,"6,572","1,544","2,756","23,170","6,238"
1867,"28,880,703",,"6,337,867",,"14,106,348","1,221,830","2,440,576","19,109,579","3,497,452"
1870,"95,268",,"22,091",,"25,613","5,661","8,562","61,464","13,733"
1871,"73,704",,"10,456",,"14,126","2,724","7,456","43,378","9,828"
1892,"30,795","11,713",,,"8,616","2,058","2,697","21,077","5,466"
1893,"326,021",,"55,612",,"68,697","18,846","50,318","244,839","49,004"
1929,"42,282",,"17,722",,"5,598",974,"3,644","18,931","4,239"
1945,"58,464",,"9,304",,"20,336","7,992","10,013","16,487","8,269"
1948,"20,875",,"1,541",,"1,291","1,020","6,804","10,105",464
1976,"47,428",,"22,484",,"15,436","3,492","5,969","10,153","4,401"
2001,"117,900","37,486",,,"114,240","Å¶1,Å¶3 65,809","72,967","69,661","69,230"
2060,"54,861","2,893",,,"34,521","8,019","9,505","42,188","14,268"
2108,"45,745","2,554",,,"23,067","20,678","23,144","20,751","10,331"
2122,"8,247,745","4,646,879",,"204,777",,,"702,152","4,549,690","72,976"
2138,"22,295,495","15,056,962",,,"821,019","1,892,403","3,425,974","6,054,027","11,273,570"
2150,"4,099,431","2,289,836",,"48,187",,,,"1,561,097","24,679"
2160,"16,213,236",,,,,,,"3,074,506",
2164,"1,393,867","983,670",,"52,570",,,"61,964","796,715","687,293"
2170,"11,610",,,975,,,,"18,261",
2173,"3,866,912","2,013,889",,,"159,168","9,226","361,877","3,111,978","361,644"
2175,,,,,939,,,,
2181,"236,943","83,161",,,"11,988","Å¶ 11,344","33,540","145,577","62,680"
2185,"13,414,520","9,333,973",,,"2,982,693",,"2,536,363","2,478,619","1,590,568"
2195,"2,262,873","1,270,311",,,"1,756,157",,,"1,635,713","1,763,585"
2217,"12,004,482","3,417,188",,,"7,645,962","Å¶1 1,626,061","4,269,041","6,606,392","654,607"
2221,"8,107,394","1,269,921",,,"13,824,296","54,002,366","54,356,531","3,444,491","16,872,843"
2229,"123,477","34,572",,,"77,280","1,984","11,723","42,585","13,652"
2266,"24,259,601","8,635,071",,,"26,222,472","1,426,078","5,740,747","26,449,823","1,727,682"
