code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1333,300511,31579,,,147902,43665,64393,213484,152237
1438,3239976,2125532,,,971599,,312646,1278725,232571
1447,10852865,3894837,,,1720706,215825,1246302,7571502,4709414
1333,300511,31579,,,147902,43665,64393,213484,152237
1438,3239976,2125532,,,971599,,312646,1278725,232571
1447,10852865,3894837,,,1720706,215825,1246302,7571502,4709414
1448,39809,,6654,,21904,11164,13113,37814,15465
1451,12489804,3984906,,,1946262,1689,282510,5000041,4076325
1712,4252,1031,,,16168,508,835,4746,2767
1721,278860,,33259,,140694,25098,52387,128229,20382
1724,6295,847,,,2162,,987,4367,1349
1726,26669,,2730,,5186,410,698,17597,2899
1737,16673745,,2948935,,1501871,70033,727189,3823473,1121332
1798,20670914,,7111912,,3823982,774488,2825818,15471354,1306528
1801,1027061,,446630,,152470,328152,455261,841147,185054
1803,1013598,,214321,,501899,355679,374035,714908,372319
1812,810537,,170329,,282319,,,707151,213321
1820,,,,,,41711,64835,191127,73775
1824,433190,,100687,,165558,131063,149357,267118,294242
1828,23883174,,4525013,,8033204,422715,1217732,13210884,2280219
1840,10598754,,4209889,,8576079,687746,1725056,8295489,1746122
1847,44606,,11835,,6572,1544,2756,23170,6238
1867,28880703,,6337867,,14106348,1221830,2440576,19109579,3497452
1870,95268,,22091,,25613,5661,8562,61464,13733
1871,73704,,10456,,14126,2724,7456,43378,9828
1892,30795,11713,,,8616,2058,2697,21077,5466
1893,326021,,55612,,68697,18846,50318,244839,49004
1929,42282,,17722,,5598,974,3644,18931,4239
1945,58464,,9304,,20336,7992,10013,16487,8269
1948,20875,,1541,,1291,1020,6804,10105,464
1976,47428,,22484,,15436,3492,5969,10153,4401
2001,117900,37486,,,114240,65809,72967,69661,69230
2060,54861,2893,,,34521,8019,9505,42188,14268
2108,45745,2554,,,23067,20678,23144,20751,10331
2122,8247745,4646879,,204777,,,702152,4549690,72976
2138,22295495,15056962,,,821019,1892403,3425974,6054027,11273570
2150,4099431,2289836,,48187,,,,1561097,24679
2164,1393867,983670,,52570,,,61964,796715,687293
2170,11610,,,975,,,,18261,
2173,3866912,2013889,,,159168,9226,361877,3111978,361644
2181,236943,83161,,,11988,1344,33540,145577,62680
2185,13414520,9333973,,,2982693,,2536363,2478619,1590568
2195,2262873,1270311,,,1756157,,,1635713,1763585
2217,12004482,3417188,,,7645962,1626061,4269041,6606392,654607
2221,8107394,1269921,,,13824296,54002366,54356531,3444491,16872843
2222,12614813,7309405,,,9928103,133354,2357930,3076980,2633554
2229,123477,34572,,,77280,1984,11723,42585,13652
2266,24259601,8635071,,,26222472,1426078,5740747,26449823,1727682
2304,2801102,802454,,,1450687,482190,906465,1847815,975620
2321,311140,217172,,,116,41568,60379,56720,156241
2329,55486,31898,,,19759,12913,15136,14310,4514
2330,3088243,1055858,,,284457,17169,425312,2154877,551415
2331,227617,60833,,,103383,55639,107217,103793,73243
2335,7253810,4467541,,,193249,1169963,1988358,2357766,571106
2371,47196,,,2453,,,,16907,
2374,13414187,5783729,,,8097443,150675,3813284,6950881,6811459
2376,6349441,4398968,,,5169783,519312,2016042,1854355,4895538
2384,104997,22091,,,102310,,21177,115946,76849
2389,61852,37493,,912,,4095,5256,21996,8847
2393,7833435,677472,,,10603705,22729,1586376,4501006,1116983
2395,14780029,7230744,,,12897971,8286937,9080641,11915803,9217814
2406,3654818,2302946,,,3557669,,1879749,3894958,2761451
2410,3753346,2263555,,199474,,,,1543692,205692
2411,,,,,599,129,454,,
2413,164109,,,12198,,,,50308,
2424,1879527,1594736,,,8253329,,1125794,3932105,5130243
2432,129887,,,2301,,,,40976,
2436,2457034,1459632,,66549,,123542,467384,861134,315710
2445,24907670,8032422,,,27480458,504898,3240463,19554343,18131625
