code,市場,銘柄名,現在値
1301,東証1部,極洋,2984
1332,東証1部,日本水産,516
1333,東証1部,マルハニチロ,2459
1352,東証1部,ホウスイ,976
1375,東証1部,雪国まいたけ,1852
1376,東証1部,カネコ種苗,1550
1377,東証1部,サカタのタネ,3800
1379,東証1部,ホクト,1965
1380,東証JQS,秋川牧園,1144
1381,東証JQS,アクシーズ,3390
1382,東証JQS,ホーブ,936
1383,東証JQS,ベルグアース,2425
1384,東証1部,ホクリヨウ,707
1400,東証JQG,ルーデン・ホールディングス,323
1401,マザーズ,エムビーエス,548
1407,東証JQS,ウエストホールディングス,3395
1413,東証1部,ヒノキヤグループ,2475
1414,東証1部,ショーボンドホールディングス,4670
1417,東証1部,ミライト・ホールディングス,1896
1418,東証JQS,インターライフホールディングス,222
1419,東証1部,タマホーム,2357
1420,東証1部,サンヨーホームズ,707
1429,東証1部,日本アクア,543
1430,東証1部,ファーストコーポレーション,808
1431,マザーズ,Ｌｉｂ　Ｗｏｒｋ,896
1433,東証1部,ベステラ,1566
1434,東証2部,ＪＥＳＣＯホールディングス,554
1435,東証1部,Ｒｏｂｏｔ　Ｈｏｍｅ,249
1436,マザーズ,フィット,955
1438,名証2部,岐阜造園,2035
1439,東証JQS,安江工務店,1024
1443,東証2部,技研ホールディングス,293
1444,名古屋セ,ニッソウ,2350
1446,東証1部,キャンディル,527
1447,マザーズ,ＩＴｂｏｏｋホールディングス,459
1448,東証1部,スペースバリューホールディングス,689
1449,札幌ア,ＦＵＪＩジャパン,556
1450,東証JQS,田中建設工業,2386
1451,東証2部,ＫＨＣ,628
1491,東証2部,中外鉱業,31
1514,東証1部,住石ホールディングス,131
1515,東証1部,日鉄鉱業,6280
1518,東証1部,三井松島ホールディングス,940
1605,東証1部,ＩＮＰＥＸ,748
1662,東証1部,石油資源開発,2036
1663,東証1部,Ｋ＆Ｏエナジーグループ,1363
1711,東証2部,省電舎ホールディングス,462
1712,東証1部,ダイセキ環境ソリューション,943
1716,東証1部,第一カッター興業,1372
1717,東証1部,明豊ファシリティワークス,830
1718,東証JQS,美樹工業,4150
1719,東証1部,安藤ハザマ,862
1720,東証1部,東急建設,699
1721,東証1部,コムシスホールディングス,3190
1723,東証JQS,日本電技,3805
1724,東証JQS,シンクレイヤ,1268
1726,東証1部,ビーアールホールディングス,534
1728,東証JQS,ミサワホーム中国,319
1730,東証JQS,麻生フオームクリート,600
1734,札証,北弘電社,3750
1736,東証JQS,オーテック,2413
1737,東証2部,三井金属エンジニアリング,966
1738,名証2部,ＮＩＴＴＯＨ,459
1739,東証JQG,シード平和,740
1743,東証2部,コーアツ工業,4390
1757,東証2部,中小企業ホールディングス,71
1758,東証JQS,太洋基礎工業,5050
1762,東証1部,高松コンストラクショングループ,2129
1764,東証2部,工藤建設,2686
1766,東証1部,東建コーポレーション,9700
1768,東証1部,ソネック,927
1770,東証JQS,藤田エンジニアリング,1035
1771,福証,日本乾溜工業,686
1773,東証外国,ＹＴＬ,18
1775,東証2部,富士古河Ｅ＆Ｃ,2785
1776,東証2部,三井住建道路,1014
1777,名証2部,川崎設備工業,428
1780,東証1部,ヤマウラ,899
1782,東証JQS,常磐開発,8970
1783,東証JQS,アジアゲートホールディングス,48
1786,東証1部,オリエンタル白石,279
1787,東証JQS,ナカボーテック,5370
1788,東証JQS,三東工業社,2600
1789,東証JQS,ＥＴＳホールディングス,1057
1793,東証JQS,大本組,5260
1795,東証JQS,マサル,3535
1798,東証JQS,守谷商会,2020
1799,東証JQS,第一建設工業,1871
1801,東証1部,大成建設,3980
1802,東証1部,大林組,947
1803,東証1部,清水建設,913
1805,東証1部,飛島建設,1084
1807,東証JQS,佐藤渡辺,3070
1808,東証1部,長谷工コーポレーション,1554
1810,東証1部,松井建設,778
1811,東証1部,錢高組,4360
1812,東証1部,鹿島,1547
1813,東証1部,不動テトラ,1830
1814,東証1部,大末建設,1005
1815,東証1部,鉄建建設,1888
1820,東証1部,西松建設,3380
1821,東証1部,三井住友建設,480
