code,市場,銘柄名,現在値
1301,東証1部,極洋,2942
1332,東証1部,日本水産,532
1333,東証1部,マルハニチロ,2561
1352,東証1部,ホウスイ,952
1375,東証1部,雪国まいたけ,1806
1376,東証1部,カネコ種苗,1541
1377,東証1部,サカタのタネ,3790
1379,東証1部,ホクト,1982
1380,東証JQS,秋川牧園,1171
1381,東証JQS,アクシーズ,3390
1382,東証JQS,ホーブ,971
1383,東証JQS,ベルグアース,2277
1384,東証1部,ホクリヨウ,697
1400,東証JQG,ルーデン・ホールディングス,303
1401,マザーズ,エムビーエス,528
1407,東証JQS,ウエストホールディングス,3015
1413,東証1部,ヒノキヤグループ,2452
1414,東証1部,ショーボンドホールディングス,4625
1417,東証1部,ミライト・ホールディングス,1800
1418,東証JQS,インターライフホールディングス,214
1419,東証1部,タマホーム,2334
1420,東証1部,サンヨーホームズ,752
1429,東証1部,日本アクア,520
1430,東証1部,ファーストコーポレーション,802
1431,マザーズ,Ｌｉｂ　Ｗｏｒｋ,812
1433,東証1部,ベステラ,1515
1434,東証2部,ＪＥＳＣＯホールディングス,538
1435,東証1部,Ｒｏｂｏｔ　Ｈｏｍｅ,209
1436,マザーズ,フィット,916
1438,名証2部,岐阜造園,2087
1439,東証JQS,安江工務店,1026
1443,東証2部,技研ホールディングス,293
1444,名古屋セ,ニッソウ,2389
1446,東証1部,キャンディル,523
1447,マザーズ,ＩＴｂｏｏｋホールディングス,367
1448,東証1部,スペースバリューホールディングス,724
1449,札幌ア,ＦＵＪＩジャパン,606
1450,東証JQS,田中建設工業,2302
1451,東証2部,ＫＨＣ,619
1491,東証2部,中外鉱業,32
1514,東証1部,住石ホールディングス,127
1515,東証1部,日鉄鉱業,6200
1518,東証1部,三井松島ホールディングス,928
1605,東証1部,ＩＮＰＥＸ,799
1662,東証1部,石油資源開発,2101
1663,東証1部,Ｋ＆Ｏエナジーグループ,1400
1711,東証2部,省電舎ホールディングス,437
1712,東証1部,ダイセキ環境ソリューション,883
1716,東証1部,第一カッター興業,1335
1717,東証1部,明豊ファシリティワークス,755
1718,東証JQS,美樹工業,4155
1719,東証1部,安藤ハザマ,858
1720,東証1部,東急建設,681
1721,東証1部,コムシスホールディングス,3200
1723,東証JQS,日本電技,3800
1724,東証JQS,シンクレイヤ,1024
1726,東証1部,ビーアールホールディングス,514
1728,東証JQS,ミサワホーム中国,319
1730,東証JQS,麻生フオームクリート,601
1734,札証,北弘電社,3720
1736,東証JQS,オーテック,2381
1737,東証2部,三井金属エンジニアリング,966
1738,名証2部,ＮＩＴＴＯＨ,480
1739,東証JQG,シード平和,717
1743,東証2部,コーアツ工業,4000
1757,東証2部,中小企業ホールディングス,62
1758,東証JQS,太洋基礎工業,5000
1762,東証1部,高松コンストラクショングループ,2082
1764,東証2部,工藤建設,2700
1766,東証1部,東建コーポレーション,9430
1768,東証1部,ソネック,925
1770,東証JQS,藤田エンジニアリング,1021
1771,福証,日本乾溜工業,662
1773,東証外国,ＹＴＬ,17
1775,東証2部,富士古河Ｅ＆Ｃ,2662
1776,東証2部,三井住建道路,998
1777,名証2部,川崎設備工業,424
1780,東証1部,ヤマウラ,891
1782,東証JQS,常磐開発,8940
1783,東証JQS,アジアゲートホールディングス,48
1786,東証1部,オリエンタル白石,285
1787,東証JQS,ナカボーテック,5530
1788,東証JQS,三東工業社,2649
1789,東証JQS,ＥＴＳホールディングス,979
1793,東証JQS,大本組,5120
1795,東証JQS,マサル,3520
1798,東証JQS,守谷商会,2010
1799,東証JQS,第一建設工業,1913
1801,東証1部,大成建設,3875
1802,東証1部,大林組,948
1803,東証1部,清水建設,889
1805,東証1部,飛島建設,1082
1807,東証JQS,佐藤渡辺,3010
1808,東証1部,長谷工コーポレーション,1538
1810,東証1部,松井建設,757
1811,東証1部,錢高組,4260
1812,東証1部,鹿島,1448
1813,東証1部,不動テトラ,1780
1814,東証1部,大末建設,981
1815,東証1部,鉄建建設,1857
1820,東証1部,西松建設,3450
1821,東証1部,三井住友建設,481
1822,東証1部,大豊建設,4160
1824,東証1部,前田建設工業,981
1826,東証1部,佐田建設,425
1827,東証1部,ナカノフドー建設,381
1828,東証2部,田辺工業,829
1832,札証,北海電気工事,670
1833,東証1部,奥村組,2914
1835,東証1部,東鉄工業,2544
1840,東証2部,土屋ホールディングス,170
1841,東証JQS,サンユー建設,910
1844,東証2部,大盛工業,201
1847,東証1部,イチケン,1903
1848,東証1部,富士ピー・エス,555
1850,東証2部,南海辰村建設,294
1852,東証1部,淺沼組,4455
1853,東証2部,森組,292
1860,東証1部,戸田建設,773
1861,東証1部,熊谷組,2976
1866,東証1部,北野建設,2411
1867,東証1部,植木組,1507
1869,名証2部,名工建設,1094
1870,東証1部,矢作建設工業,728
1871,東証1部,ピーエス三菱,616
1873,東証1部,日本ハウスホールディングス,329
1878,東証1部,大東建託,11600
1879,東証1部,新日本建設,862
1881,東証1部,ＮＩＰＰＯ,2905
1882,東証1部,東亜道路工業,4495
1883,東証1部,前田道路,2198
1884,東証1部,日本道路,7510
1885,東証1部,東亜建設工業,2458
1887,東証1部,日本国土開発,605
1888,東証1部,若築建設,1334
1890,東証1部,東洋建設,571
1892,名証2部,徳倉建設,3530
1893,東証1部,五洋建設,784
1897,東証2部,金下建設,3640
1898,東証1部,世紀東急工業,868
1899,東証1部,福田組,5030
1904,東証JQS,大成温調,1958
1905,東証JQS,テノックス,891
1909,東証1部,日本ドライケミカル,1696
1911,東証1部,住友林業,2235
1914,東証1部,日本基礎技術,502
1921,東証1部,巴コーポレーション,372
1925,東証1部,大和ハウス工業,3242
1926,東証1部,ライト工業,1806
1928,東証1部,積水ハウス,2284.5
1929,東証1部,日特建設,781
1930,東証1部,北陸電気工事,1213
1934,東証1部,ユアテック,744
1938,東証1部,日本リーテック,1703
1939,東証1部,四電工,3250
1941,東証1部,中電工,2316
1942,東証1部,関電工,912
1944,東証1部,きんでん,1847
1945,東証1部,東京エネシス,927
1946,東証1部,トーエネック,3795
1948,東証2部,弘電社,4915
1949,東証1部,住友電設,2356
1950,東証1部,日本電設工業,1769
1951,東証1部,協和エクシオ,2702
1952,東証1部,新日本空調,2153
1954,東証1部,日本工営,3240
1959,東証1部,九電工,3610
1960,東証2部,サンテック,692
1961,東証1部,三機工業,1404
1963,東証1部,日揮ホールディングス,1043
1964,東証1部,中外炉工業,2009
1965,東証2部,テクノ菱和,883
1966,東証2部,高田工業所,678
1967,東証1部,ヤマト,693
1968,東証1部,太平電業,2616
1969,東証1部,高砂熱学工業,1736
1971,東証2部,中央ビルト工業,620
1972,東証1部,三晃金属工業,2556
1973,東証1部,ＮＥＣネッツエスアイ,1760
1975,東証1部,朝日工業社,2921
1976,東証1部,明星工業,746
1979,東証1部,大気社,2909
1980,東証1部,ダイダン,2722
1981,東証JQS,協和日成,1060
1982,東証1部,日比谷総合設備,1884
1992,東証JQS,神田通信機,941
1994,東証JQS,高橋カーテンウォール工業,686
1997,東証JQS,暁飯島工業,1499
1999,福証,サイタホールディングス,2480
2001,東証1部,ニップン,1596
2002,東証1部,日清製粉グループ本社,1820
2003,東証1部,日東富士製粉,7160
2004,東証1部,昭和産業,2990
2009,東証1部,鳥越製粉,800
2053,東証1部,中部飼料,1401
2055,東証2部,日和産業,318
2058,福証,ヒガシマル,928
2060,東証1部,フィード・ワン,814
2107,東証1部,東洋精糖,1186
2108,東証1部,日本甜菜製糖,1657
2109,東証1部,ＤＭ三井製糖ホールディングス,1851
2112,東証1部,塩水港精糖,223
2114,東証2部,フジ日本精糖,551
2117,東証1部,日新製糖,1730
2120,東証1部,ＬＩＦＵＬＬ,369
2121,東証1部,ミクシィ,2657
2122,マザーズ,インタースペース,990
2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,1777
2127,東証1部,日本Ｍ＆Ａセンター,2626
2130,東証1部,メンバーズ,2640
2134,東証JQS,燦キャピタルマネージメント,40
2136,東証JQS,ヒップ,787
2137,札幌ア,光ハイツ・ヴェラス,761
2138,東証JQS,クルーズ,2001
2139,東証1部,中広,348
2146,東証1部,ＵＴグループ,3000
2148,東証1部,アイティメディア,1580
2150,マザーズ,ケアネット,4875
2151,東証1部,タケエイ,1262
2152,東証JQS,幼児活動研究会,1035
2153,東証1部,Ｅ・Ｊホールディングス,1080
2154,東証1部,夢真ビーネックスグループ,1233
2156,東証JQS,セーラー広告,289
2157,東証1部,コシダカホールディングス,559
2158,マザーズ,ＦＲＯＮＴＥＯ,698
2159,東証2部,フルスピード,404
2160,マザーズ,ジーエヌアイグループ,1824
2162,東証JQS,ｎｍｓホールディングス,344
2163,東証1部,アルトナー,780
2164,東証JQG,地域新聞社,739
2168,東証1部,パソナグループ,1839
2169,東証1部,ＣＤＳ,1516
2170,東証1部,リンクアンドモチベーション,547
2172,札幌ア,インサイト,368
2173,東証JQG,博展,382
2174,東証1部,ＧＣＡ,866
2175,東証1部,エス・エム・エス,2853
2176,東証JQS,イナリサーチ,707
2178,マザーズ,トライステージ,381
2179,東証JQS,成学社,804
2180,東証1部,サニーサイドアップグループ,746
2181,東証1部,パーソルホールディングス,1989
2183,東証1部,リニカル,745
2185,東証JQS,シイエム・シイ,2394
2186,東証JQS,ソーバル,992
2191,東証JQS,テラ,215
2193,東証1部,クックパッド,250
2195,東証JQG,アミタホールディングス,2885
2196,東証1部,エスクリ,391
2198,東証1部,アイ・ケイ・ケイ,646
2201,東証1部,森永製菓,3505
2204,東証1部,中村屋,3775
2206,東証1部,江崎グリコ,4350
2207,東証1部,名糖産業,1528
2208,東証2部,ブルボン,2221
2209,東証1部,井村屋グループ,2380
2211,東証1部,不二家,2150
2212,東証1部,山崎製パン,1704
2215,東証1部,第一屋製パン,953
2216,東証2部,カンロ,1469
2217,東証1部,モロゾフ,5230
2218,札証,日糧製パン,2044
2220,東証1部,亀田製菓,4590
2221,東証JQS,岩塚製菓,4115
2222,東証1部,寿スピリッツ,6160
2224,東証JQS,コモ,2596
2226,東証JQS,湖池屋,5000
2229,東証1部,カルビー,2610
2264,東証1部,森永乳業,6200
2266,東証1部,六甲バター,1511
2267,東証1部,ヤクルト本社,5920
2268,東証JQS,Ｂ－Ｒ　サーティワン　アイスクリーム,4030
2269,東証1部,明治ホールディングス,6750
2270,東証1部,雪印メグミルク,2279
2281,東証1部,プリマハム,3220
2282,東証1部,日本ハム,4585
2286,東証1部,林兼産業,620
2288,東証1部,丸大食品,1705
2291,東証2部,福留ハム,1915
2292,東証1部,Ｓ　ＦＯＯＤＳ,3275
2293,東証JQS,滝沢ハム,3000
2294,東証1部,柿安本店,2509
2296,東証1部,伊藤ハム米久ホールディングス,724
2300,東証JQS,きょくとう,496
2301,東証1部,学情,1377
2303,東証JQS,ドーン,2705
2304,東証JQS,ＣＳＳホールディングス,262
2305,東証1部,スタジオアリス,2285
2307,東証1部,クロスキャット,1001
2309,東証1部,シミックホールディングス,1533
2311,東証1部,エプコ,969
2315,東証JQS,ＣＡＩＣＡ,235
2317,東証1部,システナ,1864
2321,東証JQG,ソフトフロントホールディングス,136
2323,東証JQS,ｆｏｎｆｕｎ,489
2325,東証1部,ＮＪＳ,2070
2326,東証1部,デジタルアーツ,8240
2327,東証1部,日鉄ソリューションズ,3070
2329,東証JQS,東北新社,701
2330,東証JQS,フォーサイド,103
2331,東証1部,ＡＬＳＯＫ,5050
2332,東証JQS,クエスト,1514
2334,マザーズ,イオレ,1502
2335,東証1部,キューブシステム,1020
2337,東証1部,いちご,348
2338,東証2部,ビットワングループ,899
2340,東証JQS,極楽湯ホールディングス,304
2341,東証JQS,アルバイトタイムス,133
2342,マザーズ,トランスジェニック,567
2344,東証JQS,平安レイサービス,877
2345,東証2部,クシム,570
2349,東証JQS,エヌアイデイ,1267
2351,マザーズ,ＡＳＪ,1185
2352,東証1部,エイジア,2160
2353,東証1部,日本駐車場開発,153
2354,東証2部,ＹＥ　ＤＩＧＩＴＡＬ,583
2359,東証1部,コア,1425
2370,マザーズ,メディネット,53
2371,東証1部,カカクコム,2950
2372,東証1部,アイロムグループ,2058
2373,東証JQS,ケア２１,845
2374,東証1部,セントケア・ホールディング,1076
2375,東証2部,ギグワークス,806
2376,東証1部,サイネックス,660
2378,東証1部,ルネサンス,1088
2379,東証1部,ディップ,2802
2384,東証1部,ＳＢＳホールディングス,2900
2385,マザーズ,総医研ホールディングス,472
2388,東証JQG,ウェッジホールディングス,95
2389,東証1部,デジタルホールディングス,1891
2391,東証JQS,プラネット,1539
2393,東証2部,日本ケアサプライ,1655
2395,東証1部,新日本科学,772
2397,東証2部,ＤＮＡチップ研究所,685
2398,東証1部,ツクイホールディングス,921
2402,マザーズ,アマナ,600
2404,東証2部,鉄人化計画,274
2406,東証JQS,アルテ　サロン　ホールディングス,503
2408,東証JQS,ＫＧ情報,335
2410,東証1部,キャリアデザインセンター,1094
2411,東証JQS,ゲンダイエージェンシー,281
2412,東証1部,ベネフィット・ワン,2688
2413,東証1部,エムスリー,6957
2415,東証JQS,ヒューマンホールディングス,850
2418,東証1部,ツカダ・グローバルホールディング,329
2424,東証1部,ブラス,501
2425,東証JQG,ケアサービス,746
2427,東証1部,アウトソーシング,1835
2428,東証1部,ウェルネット,503
2429,東証1部,ワールドホールディングス,2674
2432,東証1部,ディー・エヌ・エー,2005
2433,東証1部,博報堂ＤＹホールディングス,1784
2435,東証JQS,シダー,231
2436,東証JQS,共同ピーアール,770
2437,東証JQS,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,403
2438,マザーズ,アスカネット,938
2440,東証1部,ぐるなび,554
2445,東証1部,タカミヤ,515
2449,東証JQS,プラップジャパン,1308
2453,東証1部,ジャパンベストレスキューシステム,694
2454,東証JQS,オールアバウト,753
2459,東証2部,アウンコンサルティング,214
2461,東証1部,ファンコミュニケーションズ,377
2462,東証1部,ライク,2279
2464,東証1部,ビジネス・ブレークスルー,444
2467,名古屋セ,バルクホールディングス,235
2468,東証2部,フュートレック,352
2469,東証JQS,ヒビノ,1322
2471,東証1部,エスプール,881
2475,東証1部,ＷＤＢホールディングス,2456
2477,東証1部,手間いらず,5510
2479,東証JQG,ジェイテック,179
2480,東証JQS,システム・ロケーション,1450
2481,東証JQS,タウンニュース社,408
2483,東証JQS,翻訳センター,1487
2484,東証JQS,出前館,1727
2485,東証1部,ティア,481
