code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1301,86649,7100,,15715.0,11682.0,13547.0,39189,37166.0
1332,231751,10986,,147428.0,38076.0,86443.0,153467,134021.0
1352,12137,4019,,26593.0,345.0,2390.0,11866,21666.0
1375,10202,,18031.0,,,,7614,
1376,28828145,3447948,,6627416.0,,2829597.0,16514107,1726482.0
1377,73555,18996,,33186.0,14536.0,16873.0,12944,7085.0
1379,26881,13891,,64047.0,6544.0,9057.0,23323,22772.0
1380,2310301,926888,,2745833.0,152651.0,280864.0,1971486,1486872.0
1381,11618,7880,,7446.0,,948.0,2815,440.0
1382,767777,396087,,68993.0,,45557.0,222212,125297.0
1383,1621751,515044,,2379856.0,,,2137245,1222480.0
1384,3385488,1395633,,10001627.0,533137.0,833983.0,3214791,1986167.0
1400,3072027,1697397,,95639.0,5219.0,101157.0,410058,86203.0
1401,2352073,1355357,,483696.0,306619.0,661427.0,914213,3702.0
1407,66108,28726,,11806.0,439.0,2253.0,31400,28108.0
1413,52989929,15096686,,11972958.0,,5780021.0,34865328,12145854.0
1414,78630,14906.0,,12752.0,15571.0,19791.0,21240,1615.0
1417,233494,44764.0,,86655.0,22562.0,31052.0,103018,24409.0
1418,5551758,3184997,,1615859.0,432725.0,691345.0,3502914,979339.0
1419,84555,32109,,19666.0,,5094.0,75858,10932.0
1420,48100985,8884688,,2249043.0,31340.0,2180370.0,27745783,7943663.0
1429,11036977,1743828,,4107090.0,,305874.0,8275203,184452.0
1430,20720568,2072322,19596.0,,,,11116414,4291334.0
1431,6586276,3067719,562357.0,,,,3056720,1312424.0
1433,2948161,1367126,,292983.0,159840.0,2765695.0,1094138,2341305.0
1434,5228130,1576825,,7272527.0,221067.0,430651.0,5233226,4012093.0
1435,8566214,5857443,113708.0,,588530.0,689804.0,1975766,38852.0
1436,6456070,1747481,982671.0,,,502844.0,2308473,1367515.0
1439,3004201,1676927.0,,1019888.0,3968.0,151506.0,1836764,1221340.0
1443,8414963,4565648.0,,4303669.0,3093579.0,3375514.0,4506707,2405206.0
1446,5025199,3017865,67235.0,,,228597.0,2404895,2241688.0
1449,354491,135285,,138942.0,,74123.0,202138,34776.0
1450,5816310,1711072,,928870.0,181391.0,239571.0,2142894,84978.0
1491,5933724,3958425,,2078623.0,100071.0,232379.0,1274117,426177.0
1514,7759,4646,,6643.0,2520.0,2644.0,1018,926.0
1515,87866,35510,,62584.0,28157.0,34955.0,48162,24161.0
1518,40777,23850,,13427.0,3335.0,5433.0,25492,14838.0
1605,490836,236856,,2174853.0,324927.0,1838116.0,376662,1400561.0
1662,221034,162368,,266745.0,105070.0,130877.0,103776,86517.0
1663,34196,14814,,38121.0,11643.0,21537.0,8099,6358.0
1711,244755,112610,,,3303.0,32594.0,164230,73934.0
1716,9973745,6237861,,5181993.0,910976.0,1460900.0,2366590,921241.0
1717,4685680,1438834,,105708.0,100000.0,700173.0,899515,638499.0
1718,11102710,3039561.0,,15962827.0,599680.0,1523326.0,8018461,5001507.0
1719,274429,129317.0,,29555.0,21697.0,34120.0,173984,18949.0
1720,158454,34173.0,,34342.0,29816.0,32568.0,95046,28012.0
1728,10596035,5026131,,2904415.0,388358.0,1322948.0,7303022,1467932.0
1730,1889880,663156.0,,1413408.0,22573.0,235715.0,1337713,713200.0
1734,7774205,2464267.0,,870342.0,357111.0,585662.0,4384703,691826.0
1736,17679110,6210924,,2627241.0,3514547.0,4577345.0,8546034,1155936.0
1738,3481527,1326293,,2429430.0,103304.0,420418.0,1862182,744628.0
1739,26233535,1463190,,1497269.0,,227593.0,16373137,5738674.0
1743,5313976,2012029.0,,5939425.0,975189.0,1172729.0,3428292,1264506.0
1757,1372383,770092,,10989.0,,91622.0,180889,33535.0
1758,6316529,2483039,,2294002.0,1012637.0,1447599.0,2301965,473950.0
1762,165982,73372.0,,38472.0,6573.0,13573.0,75455,29619.0
1764,8393036,3332855.0,,3341706.0,,4587009.0,7946736,4201928.0
1768,9605579,4230645.0,,1023943.0,394595.0,605140.0,3426478,234637.0
1770,19424433,8608788.0,,3203439.0,2810098.0,3324611.0,10199367,1486222.0
1771,11187155,3653190,,2124617.0,747767.0,801179.0,6869308,854922.0
1775,51311,6388.0,,2467.0,513.0,2408.0,24042,3304.0
1776,21195,10677.0,,5238.0,7.0,1027.0,12872,2132.0
1777,12423097,2785633.0,,3252252.0,168891.0,870510.0,5768409,1247326.0
1782,12244613,5932039.0,,2180969.0,1245931.0,1911147.0,5566791,290722.0
1783,3470276,1995524,,337162.0,3731841.0,4028735.0,1323228,1755127.0
1786,47106,8653,,9774.0,2856.0,3485.0,19627,6959.0
1787,9543230,569202.0,,658422.0,318926.0,1024930.0,2722940,1075279.0
1788,4253377,1989198.0,,716601.0,172367.0,294588.0,2561319,59625.0
1789,3556505,2303681.0,,527403.0,50000.0,179364.0,1446733,381470.0
1793,71843,24468.0,,9168.0,6975.0,11375.0,21636,3741.0
1795,5664498,2375720,,1169060.0,116158.0,450696.0,2623485,367221.0
1799,48183721,16357216.0,,18253746.0,9258536.0,9581232.0,9407852,2623856.0
1802,1269405,258549.0,,609256.0,340079.0,387528.0,992925,317723.0
1805,94041,25439.0,,19236.0,4229.0,7223.0,64097,15915.0
1807,19381700,4194669.0,,9846360.0,2160237.0,3077970.0,10938755,3492316.0
1808,689527,216107.0,,173010.0,40880.0,81264.0,271963,287331.0
