code,市場,銘柄名,現在値
1301,東証1部,極洋,3015
1332,東証1部,日本水産,532
1333,東証1部,マルハニチロ,2574
1352,東証1部,ホウスイ,954
1375,東証1部,雪国まいたけ,1800
1376,東証1部,カネコ種苗,1553
1377,東証1部,サカタのタネ,3805
1379,東証1部,ホクト,1985
1380,東証JQS,秋川牧園,1137
1381,東証JQS,アクシーズ,3295
1382,東証JQS,ホーブ,961
1383,東証JQS,ベルグアース,2297
1384,東証1部,ホクリヨウ,707
1400,東証JQG,ルーデン・ホールディングス,314
1401,マザーズ,エムビーエス,534
1407,東証JQS,ウエストホールディングス,3080
1413,東証1部,ヒノキヤグループ,2446
1414,東証1部,ショーボンドホールディングス,4645
1417,東証1部,ミライト・ホールディングス,1826
1418,東証JQS,インターライフホールディングス,212
1419,東証1部,タマホーム,2280
1420,東証1部,サンヨーホームズ,714
1429,東証1部,日本アクア,540
1430,東証1部,ファーストコーポレーション,807
1431,マザーズ,Ｌｉｂ　Ｗｏｒｋ,816
1433,東証1部,ベステラ,1557
1434,東証2部,ＪＥＳＣＯホールディングス,543
1435,東証1部,Ｒｏｂｏｔ　Ｈｏｍｅ,224
1436,マザーズ,フィット,930
1438,名証2部,岐阜造園,2090
1439,東証JQS,安江工務店,1011
1443,東証2部,技研ホールディングス,302
1444,名古屋セ,ニッソウ,2389
1446,東証1部,キャンディル,524
1447,マザーズ,ＩＴｂｏｏｋホールディングス,447
1448,東証1部,スペースバリューホールディングス,727
1449,札幌ア,ＦＵＪＩジャパン,593
1450,東証JQS,田中建設工業,2340
1451,東証2部,ＫＨＣ,621
1491,東証2部,中外鉱業,32
1514,東証1部,住石ホールディングス,130
1515,東証1部,日鉄鉱業,6290
1518,東証1部,三井松島ホールディングス,929
1605,東証1部,ＩＮＰＥＸ,825
1662,東証1部,石油資源開発,2175
1663,東証1部,Ｋ＆Ｏエナジーグループ,1391
1711,東証2部,省電舎ホールディングス,451
1712,東証1部,ダイセキ環境ソリューション,937
1716,東証1部,第一カッター興業,1371
1717,東証1部,明豊ファシリティワークス,807
1718,東証JQS,美樹工業,4185
1719,東証1部,安藤ハザマ,868
1720,東証1部,東急建設,694
1721,東証1部,コムシスホールディングス,3175
1723,東証JQS,日本電技,3765
1724,東証JQS,シンクレイヤ,1060
1726,東証1部,ビーアールホールディングス,539
1728,東証JQS,ミサワホーム中国,319
1730,東証JQS,麻生フオームクリート,597
1734,札証,北弘電社,3790
1736,東証JQS,オーテック,2381
1737,東証2部,三井金属エンジニアリング,981
1738,名証2部,ＮＩＴＴＯＨ,473
1739,東証JQG,シード平和,725
1743,東証2部,コーアツ工業,4000
1757,東証2部,中小企業ホールディングス,64
1758,東証JQS,太洋基礎工業,5000
1762,東証1部,高松コンストラクショングループ,2135
1764,東証2部,工藤建設,2760
1766,東証1部,東建コーポレーション,9470
1768,東証1部,ソネック,917
1770,東証JQS,藤田エンジニアリング,1018
1771,福証,日本乾溜工業,679
1773,東証外国,ＹＴＬ,18
1775,東証2部,富士古河Ｅ＆Ｃ,2760
1776,東証2部,三井住建道路,1008
1777,名証2部,川崎設備工業,421
1780,東証1部,ヤマウラ,897
1782,東証JQS,常磐開発,8940
1783,東証JQS,アジアゲートホールディングス,47
1786,東証1部,オリエンタル白石,286
1787,東証JQS,ナカボーテック,5270
1788,東証JQS,三東工業社,2595
1789,東証JQS,ＥＴＳホールディングス,1016
1793,東証JQS,大本組,5150
1795,東証JQS,マサル,3520
1798,東証JQS,守谷商会,1981
1799,東証JQS,第一建設工業,1883
1801,東証1部,大成建設,3835
1802,東証1部,大林組,951
1803,東証1部,清水建設,895
1805,東証1部,飛島建設,1086
1807,東証JQS,佐藤渡辺,3010
1808,東証1部,長谷工コーポレーション,1558
1810,東証1部,松井建設,768
1811,東証1部,錢高組,4365
1812,東証1部,鹿島,1474
1813,東証1部,不動テトラ,1789
1814,東証1部,大末建設,992
1815,東証1部,鉄建建設,1881
1820,東証1部,西松建設,3435
