code,市場,銘柄名,現在値,業種,出来高,配当利回り,予PER,実PBR,単元株数,売上高,経常利益,自己資本比率,実ROE,優待月(上),優待月(下),単元倍率,特色,連結事業
1301,東証1部,極洋,3015.0,水産・農林業,"25,000",2.65,9.27,0.80,100,249197,4879,34.7,10.50,3,,1.0,水産品の貿易、加工、買い付け主力。すしネタに強み。加工食品は業務用が軸。海外加工比率高い,水産商事48(1)、冷凍食品32(1)、常温食品7(4)、物流サービス0(11)、鰹・鮪11(1)、他0(-3)【海外】11(2020.3)
1332,東証1部,日本水産,533.0,水産・農林業,"718,300",1.79,11.04,0.98,100,656491,22750,35.7,8.96,3,,5.0,水産大手。冷食など食品比重大。国内・南米で養殖。ＥＰＡなど化成品でも実力。傘下に日水製薬,水産42(4)、食品49(4)、ファイン4(10)、物流2(8)、他3(2)【海外】31(2020.3)
1333,東証1部,マルハニチロ,2572.0,水産・農林業,"82,800",1.55,9.67,0.95,100,862585,18130,26.8,4.20,3,,1.0,水産最大手。国内外に強固な流通網持つ。冷食・缶詰など加工食品も大手。畜産商事や化成品も,漁業・養殖4(-1)、商事48(1)、海外18(2)、加工26(3)、物流2(9)、他2(7)【海外】17(2020.3)
1352,東証1部,ホウスイ,967.0,卸売業,100,2.10,11.41,1.14,100,83265,1163,16.9,11.95,,,,中央魚類の子会社。鮮魚、冷凍魚などの卸売り、冷蔵倉庫を主体とする水産物の総合流通企業,冷蔵倉庫9(6)、水産食品91(1)(2020.3)
1375,東証1部,雪国まいたけ,1823.0,水産・農林業,"78,300",2.33,15.68,7.78,100,51380,7125,25.9,67.14,3,,1.0,主力のマイタケ軸にキノコ製品を量産。小売業者への直売中心。親会社の神明ＨＤと西日本開拓,まいたけ57、エリンギ10、ぶなしめじ19、茸他8、他5(2020.3)
1376,東証1部,カネコ種苗,1547.0,水産・農林業,400,1.80,15.76,0.88,100,58179,1613,43.6,5.61,,,,野菜・牧草種子など種苗事業や農薬が収益柱。農業資材や花きも販売。利益は下期の比重高い,種苗14(11)、花き15(1)、農材46(3)、施設材25(3)(2020.5)
1377,東証1部,サカタのタネ,3795.0,水産・農林業,"86,800",0.87,26.11,1.58,100,61667,8070,82.2,6.02,5,,1.0,種苗首位級。ブロッコリー世界シェア６割。ヒマワリ、トルコギキョウ等花き強化。造園緑化も,国内卸売27(31)、海外卸売60(29)、小売9(0)、他5(3)【海外】60(2020.5)
1379,東証1部,ホクト,1992.0,水産・農林業,"64,300",3.02,18.93,1.15,100,73889,6526,54.0,7.71,3,,1.0,ブナシメジ、マイタケ等キノコ最大手。長野中心に生産全国展開。シイタケ進出。台湾等海外も,国内きのこ68(10)、海外きのこ7(11)、加工品11(6)、化成品14(-1)(2020.3)
1380,東証JQS,秋川牧園,1160.0,水産・農林業,"2,600",0.88,36.47,2.47,100,6417,288,35.7,9.26,3,,5.0,無農薬・無投薬の食肉、鶏卵、牛乳等を製造販売。主力の生協経由に加えて直販宅配を強化,生産卸売82(8)、直販18(3)(2020.3)
1381,東証JQS,アクシーズ,3400.0,水産・農林業,"3,000",2.58,9.30,1.10,100,19770,2826,85.7,13.51,6,,5.0,鶏肉国内大手。ケンタッキー（ＫＦＣ）と食肉卸向け柱。飼料製造から加工まで一貫。外食ＦＣも,食品84(13)、外食14(12)、他2(52)(2020.6)
1382,東証JQS,ホーブ,965.0,水産・農林業,"1,200",0.00,13.31,1.37,100,3230,26,48.2,6.17,,,,夏秋は自社品種、冬は仕入れたイチゴ果実を大手洋菓子メーカー等に販売。種馬鈴薯も手がける,いちご果実・青果92(6)、種苗1(15)、馬鈴薯4(-8)、運送3(3)(2020.6)
1383,東証JQS,ベルグアース,2289.0,水産・農林業,"2,000",0.44,32.40,4.64,100,5197,-132,19.5,-20.95,4,,1.0,接ぎ木したトマト、キュウリ、メロン等の苗を開発し、生産販売。閉鎖型施設や中韓市場開拓も,野菜苗・苗関連97(7)、農業・園芸用タネ資材販売2(-5)、海外1(-114)(2020.10)
1384,東証1部,ホクリヨウ,707.0,水産・農林業,"6,100",1.41,24.61,0.66,100,13060,226,63.5,1.47,3,,1.0,採卵養鶏場大手、北海道でシェア５割。雛からの一貫生産や直接販売に特徴、本州開拓を強化へ,鶏卵98、食品2、他0(2020.3)
1400,東証JQG,ルーデン・ホールディングス,315.0,建設業,"30,900",0.00,59.13,1.54,100,2626,77,79.9,3.23,,,,マンション室内コーティング主力。ビル管理やマンション区分所有物件など不動産事業も展開,ハウスケア39(21)、ビル総合管理56(5)、総合不動産4(-6)、他0(-1309)(2020.12)
1401,マザーズ,エムビーエス,531.0,建設業,"10,400",0.00,16.45,1.58,100,3345,340,71.7,10.14,,,,独自研磨法と特殊コーティング剤での外装リフォーム会社。直接施工と並行し契約工務店拡大,【単独事業】ホームメイキャップ94(15)、建築工事6(12)、他1(20)(2020.5)
1407,東証JQS,ウエストホールディングス,3070.0,建設業,"159,300",1.62,25.85,6.00,100,61947,6615,24.7,23.30,,,,太陽光発電所の建設、保守、再生など全国展開。電力小売りも。銀行や施工業者らとの連携強み,再生可能エネルギー45(12)、省エネルギー3(32)、電力50(7)、メンテナンス2(30)、他0(100)(2020.8)
1413,東証1部,ヒノキヤグループ,2434.0,建設業,"21,700",4.09,8.46,1.49,100,114365,6552,29.1,18.84,,,,規格型注文住宅「桧家住宅」が中核。省エネ性能に強み。ヤマダＨＤ傘下で成長継続を図る,住宅74(7)、不動産投資1(2)、断熱材18(9)、リフォーム2(7)、介護保育5(3)、他0(-14)(2020.12)
1414,東証1部,ショーボンドホールディングス,4635.0,建設業,"111,000",2.12,23.59,2.81,100,67590,13507,81.4,11.14,,,,橋梁、道路などインフラ補修工事の専業。補修材料の開発・販売から施工まで一貫体制。好財務,国内建設95(19)、他5(16)(2020.6)
1417,東証1部,ミライト・ホールディングス,1828.0,建設業,"319,300",2.74,8.82,0.82,100,463744,31739,63.1,10.96,3,,1.0,通信工事で３位。中堅３社が１０年に経営統合。１８年度から新たに３社を統合。ＮＴＴ向け主体,ＮＴＴ36、マルチキャリア22、環境・社会イノベーション15、ＩＣＴソリューション27(2020.3)
