code,銘柄名,市場,業種,単元株数,現在値,出来高,配当利回り,予PER,実PBR,実ROE,売上高,経常利益,利益/売上,自己資本比率,優待月(上),優待月(下),単元倍率,特色,連結事業
1301,極洋,東証1部,水産・農林業,100.0,3015.0,"25,000",2.65,9.27,0.8,10.5,249197.0,4879.0,0.019578887386284747,34.7,3.0,,1.0,水産品の貿易、加工、買い付け主力。すしネタに強み。加工食品は業務用が軸。海外加工比率高い,水産商事48(1)、冷凍食品32(1)、常温食品7(4)、物流サービス0(11)、鰹・鮪11(1)、他0(-3)【海外】11(2020.3)
1332,日本水産,東証1部,水産・農林業,100.0,533.0,"718,300",1.79,11.04,0.98,8.96,656491.0,22750.0,0.03465394041959448,35.7,3.0,,5.0,水産大手。冷食など食品比重大。国内・南米で養殖。ＥＰＡなど化成品でも実力。傘下に日水製薬,水産42(4)、食品49(4)、ファイン4(10)、物流2(8)、他3(2)【海外】31(2020.3)
1333,マルハニチロ,東証1部,水産・農林業,100.0,2572.0,"82,800",1.55,9.67,0.95,4.2,862585.0,18130.0,0.021018218494409248,26.8,3.0,,1.0,水産最大手。国内外に強固な流通網持つ。冷食・缶詰など加工食品も大手。畜産商事や化成品も,漁業・養殖4(-1)、商事48(1)、海外18(2)、加工26(3)、物流2(9)、他2(7)【海外】17(2020.3)
1352,ホウスイ,東証1部,卸売業,100.0,967.0,100,2.10,11.41,1.14,11.95,83265.0,1163.0,0.013967453311715608,16.9,,,,中央魚類の子会社。鮮魚、冷凍魚などの卸売り、冷蔵倉庫を主体とする水産物の総合流通企業,冷蔵倉庫9(6)、水産食品91(1)(2020.3)
1375,雪国まいたけ,東証1部,水産・農林業,100.0,1823.0,"78,300",2.33,15.68,7.78,67.14,51380.0,7125.0,0.13867263526664073,25.9,3.0,,1.0,主力のマイタケ軸にキノコ製品を量産。小売業者への直売中心。親会社の神明ＨＤと西日本開拓,まいたけ57、エリンギ10、ぶなしめじ19、茸他8、他5(2020.3)
1376,カネコ種苗,東証1部,水産・農林業,100.0,1547.0,400,1.80,15.76,0.88,5.61,58179.0,1613.0,0.027724780419051548,43.6,,,,野菜・牧草種子など種苗事業や農薬が収益柱。農業資材や花きも販売。利益は下期の比重高い,種苗14(11)、花き15(1)、農材46(3)、施設材25(3)(2020.5)
1377,サカタのタネ,東証1部,水産・農林業,100.0,3795.0,"86,800",0.87,26.11,1.58,6.02,61667.0,8070.0,0.13086415749104058,82.2,5.0,,1.0,種苗首位級。ブロッコリー世界シェア６割。ヒマワリ、トルコギキョウ等花き強化。造園緑化も,国内卸売27(31)、海外卸売60(29)、小売9(0)、他5(3)【海外】60(2020.5)
1379,ホクト,東証1部,水産・農林業,100.0,1992.0,"64,300",3.02,18.93,1.15,7.71,73889.0,6526.0,0.08832167169673429,54.0,3.0,,1.0,ブナシメジ、マイタケ等キノコ最大手。長野中心に生産全国展開。シイタケ進出。台湾等海外も,国内きのこ68(10)、海外きのこ7(11)、加工品11(6)、化成品14(-1)(2020.3)
1380,秋川牧園,東証JQS,水産・農林業,100.0,1160.0,"2,600",0.88,36.47,2.47,9.26,6417.0,288.0,0.04488078541374474,35.7,3.0,,5.0,無農薬・無投薬の食肉、鶏卵、牛乳等を製造販売。主力の生協経由に加えて直販宅配を強化,生産卸売82(8)、直販18(3)(2020.3)
1381,アクシーズ,東証JQS,水産・農林業,100.0,3400.0,"3,000",2.58,9.30,1.1,13.51,19770.0,2826.0,0.14294385432473444,85.7,6.0,,5.0,鶏肉国内大手。ケンタッキー（ＫＦＣ）と食肉卸向け柱。飼料製造から加工まで一貫。外食ＦＣも,食品84(13)、外食14(12)、他2(52)(2020.6)
1382,ホーブ,東証JQS,水産・農林業,100.0,965.0,"1,200",0.00,13.31,1.37,6.17,3230.0,26.0,0.00804953560371517,48.2,,,,夏秋は自社品種、冬は仕入れたイチゴ果実を大手洋菓子メーカー等に販売。種馬鈴薯も手がける,いちご果実・青果92(6)、種苗1(15)、馬鈴薯4(-8)、運送3(3)(2020.6)
1383,ベルグアース,東証JQS,水産・農林業,100.0,2289.0,"2,000",0.44,32.40,4.64,-20.95,5197.0,-132.0,-0.02539926880892823,19.5,4.0,,1.0,接ぎ木したトマト、キュウリ、メロン等の苗を開発し、生産販売。閉鎖型施設や中韓市場開拓も,野菜苗・苗関連97(7)、農業・園芸用タネ資材販売2(-5)、海外1(-114)(2020.10)
1384,ホクリヨウ,東証1部,水産・農林業,100.0,707.0,"6,100",1.41,24.61,0.66,1.47,13060.0,226.0,0.017304747320061254,63.5,3.0,,1.0,採卵養鶏場大手、北海道でシェア５割。雛からの一貫生産や直接販売に特徴、本州開拓を強化へ,鶏卵98、食品2、他0(2020.3)
1400,ルーデン・ホールディングス,東証JQG,建設業,100.0,315.0,"30,900",0.00,59.13,1.54,3.23,2626.0,77.0,0.029322162985529324,79.9,,,,マンション室内コーティング主力。ビル管理やマンション区分所有物件など不動産事業も展開,ハウスケア39(21)、ビル総合管理56(5)、総合不動産4(-6)、他0(-1309)(2020.12)
1401,エムビーエス,マザーズ,建設業,100.0,531.0,"10,400",0.00,16.45,1.58,10.14,3345.0,340.0,0.10164424514200299,71.7,,,,独自研磨法と特殊コーティング剤での外装リフォーム会社。直接施工と並行し契約工務店拡大,【単独事業】ホームメイキャップ94(15)、建築工事6(12)、他1(20)(2020.5)
1407,ウエストホールディングス,東証JQS,建設業,100.0,3070.0,"159,300",1.62,25.85,6.0,23.3,61947.0,6615.0,0.10678483219526369,24.7,,,,太陽光発電所の建設、保守、再生など全国展開。電力小売りも。銀行や施工業者らとの連携強み,再生可能エネルギー45(12)、省エネルギー3(32)、電力50(7)、メンテナンス2(30)、他0(100)(2020.8)
1413,ヒノキヤグループ,東証1部,建設業,100.0,2434.0,"21,700",4.09,8.46,1.49,18.84,114365.0,6552.0,0.05729025488567306,29.1,,,,規格型注文住宅「桧家住宅」が中核。省エネ性能に強み。ヤマダＨＤ傘下で成長継続を図る,住宅74(7)、不動産投資1(2)、断熱材18(9)、リフォーム2(7)、介護保育5(3)、他0(-14)(2020.12)
1414,ショーボンドホールディングス,東証1部,建設業,100.0,4635.0,"111,000",2.12,23.59,2.81,11.14,67590.0,13507.0,0.1998372540316615,81.4,,,,橋梁、道路などインフラ補修工事の専業。補修材料の開発・販売から施工まで一貫体制。好財務,国内建設95(19)、他5(16)(2020.6)
1417,ミライト・ホールディングス,東証1部,建設業,100.0,1828.0,"319,300",2.74,8.82,0.82,10.96,463744.0,31739.0,0.06844077767043887,63.1,3.0,,1.0,通信工事で３位。中堅３社が１０年に経営統合。１８年度から新たに３社を統合。ＮＴＴ向け主体,ＮＴＴ36、マルチキャリア22、環境・社会イノベーション15、ＩＣＴソリューション27(2020.3)
1418,インターライフホールディングス,東証JQS,建設業,100.0,215.0,"7,500",1.89,40.85,1.06,2.64,14823.0,286.0,0.019294339877217837,46.2,2.0,,10.0,内装工事の日商インター等傘下の持株会社。音響・照明設備工事に参入。人材派遣や携帯販売も,工事68(5)、人材サービス13(0)、店舗サービス17(4)、不動産1(46)、他1(14)(2020.2)
